departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
18,CAQUETA,18756,SOLANO,COMERCIALIZADORA EL HUECO,TERPEL,Puerto Principal,BIODIESEL EXTRA,8500,1,01/08/2015 12:00:00 AM
99,VICHADA,99624,SANTA ROSALIA,ESTACION DE SERVICIO LA VICTORIA,BRIO,Carrera 9 con calle 3 No. 08-92-96,BIODIESEL EXTRA,9000,1,01/08/2016 12:00:00 AM
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,GASOLINA CORRIENTE OXIGENADA,8060,1,01/04/2017 12:00:00 AM
05,ANTIOQUIA,05837,TURBO,BOMBA CODI EL PUEBLO,PROXXON,CRA 13 99 A 41,BIODIESEL EXTRA,8893,1,05/07/2018 12:00:00 AM
47,MAGDALENA,47605,REMOLINO,ESTACION DE SERVICIOS LA RUTA,ECOS,FINCA EL CHORY ENTRADA A REMOLINO EN REMOLINO,BIODIESEL EXTRA,7500,1,01/28/2017 12:00:00 AM
68,SANTANDER,68235,EL CARMEN DE CHUCURI,ESTACION DE SERVICIO EL PORVENIR CARMEN DE CHUCURI,TERPEL,CORREGIMIENTO EL CENTENARIO,GASOLINA CORRIENTE OXIGENADA,9080,1,01/22/2015 12:00:00 AM
76,VALLE DEL CAUCA,76036,ANDALUCIA,ESTACION DE SERVICIO AUTOMOTRIZ ANDALUCIA I,TERPEL,CALLE 20 No. 4-83,BIODIESEL EXTRA,7461,1,01/02/2017 12:00:00 AM
47,MAGDALENA,47605,REMOLINO,ESTACION DE SERVICIOS LA RUTA,ECOS,FINCA EL CHORY ENTRADA A REMOLINO EN REMOLINO,GASOLINA CORRIENTE OXIGENADA,8300,1,01/28/2017 12:00:00 AM
95,GUAVIARE,95200,MIRAFLORES,ESTACION DE SERVICIO LA ESMERALDA 1,TERPEL,VIA AEROPUERTO PRINCIPAL BARRIO CHINO,GASOLINA CORRIENTE OXIGENADA,10900,1,01/29/2018 12:00:00 AM
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,GASOLINERA EL CHAIRA,TERPEL,CARRERA 4 No. 11-04 BARRIO GAITAN,BIODIESEL EXTRA,8860,1,01/03/2018 12:00:00 AM
