ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
4G013,ANI,1.771262,11,0.076517,Bogotá - Villavicencio,IP  –  Chirajara - Fundadores,4.452987,-74.046677,10,CHIPAQUE,CUNDINAMARCA,25178
4G013,ANI,3.818008,23,0.000135,Bogotá - Villavicencio,IP  –  Chirajara - Fundadores,4.228251,-73.818342,58,GUAYABETAL,CUNDINAMARCA,25335
4G013,ANI,2.796662,1,0.005163,Bogotá - Villavicencio,IP  –  Chirajara - Fundadores,4.203601,-73.807188,60,GUAYABETAL,CUNDINAMARCA,25335
4G013,ANI,1.725132,1,0.084504,Bogotá - Villavicencio,IP  –  Chirajara - Fundadores,4.121453,-73.643971,85,VILLAVICENCIO,META,50001
<Null>,INVIAS-OTROS,1.725132,13,0.084504,Granada - Villavicencio,,4.115757,-73.647497,sd,VILLAVICENCIO,META,50001
4G020,ANI,1.93442,4,0.053062,Villavicencio - Yopal,Villavicencio - Yopal,4.201806,-73.592214,8,RESTREPO,META,50606
3G001,ANI,1.942162,1,0.052117,Duitama-Sogamoso,Briceño - Tunja - Sogamoso,5.808537,-73.012985,2,TIBASOSA,BOYACÁ,15806
3G001,ANI,2.144165,15,0.03202,Duitama-Sogamoso,Briceño - Tunja - Sogamoso,5.806803,-73.027743,0,DUITAMA,BOYACÁ,15238
3G001,ANI,2.144165,1,0.03202,Tunja - Duitama,Briceño - Tunja - Sogamoso,5.803867,-73.040309,47,DUITAMA,BOYACÁ,15238
3G001,ANI,2.144165,9,0.03202,Tunja - Duitama,Briceño - Tunja - Sogamoso,5.798637,-73.042764,45,DUITAMA,BOYACÁ,15238
3G001,ANI,2.403517,11,0.016238,Bogotá - Tunja,Briceño - Tunja - Sogamoso,5.00172,-73.865477,32,GACHANCIPÁ,CUNDINAMARCA,25295
3G001,ANI,2.283962,1,0.022374,Bogotá - Tunja,Briceño - Tunja - Sogamoso,4.975713,-73.89282,28,GACHANCIPÁ,CUNDINAMARCA,25295
3G001,ANI,2.454862,13,0.014094,Bogotá - Tunja,Briceño - Tunja - Sogamoso,4.969318,-73.902877,26,TOCANCIPÁ,CUNDINAMARCA,25817
3G001,ANI,3.138462,9,0.001698,Bogotá - Tunja,Briceño - Tunja - Sogamoso,4.963642,-73.916891,sd,TOCANCIPÁ,CUNDINAMARCA,25817
4G012,ANI,1.725132,2,0.084504,Villavicencio-Puente Arimena,IP Malla Vial del Meta,4.095555,-72.948075,3,PUERTO LÓPEZ,META,50573
4G012,ANI,1.725132,2,0.084504,Villavicencio-Puente Arimena,IP Malla Vial del Meta,4.078851,-72.973513,77,PUERTO LÓPEZ,META,50573
<Null>,INVIAS-OTROS,2.10757,10,0.035068,Bogotá - Barbosa,,5.084119,-73.928809,38,NEMOCÓN,CUNDINAMARCA,25486
<Null>,INVIAS-OTROS,2.995412,13,0.002741,Puerto Araújo-Cimitarra,,6.345133,-73.960097,27,CIMITARRA,SANTANDER,68190
1G002,ANI,2.625762,12,0.008646,Bogotá - Villeta,Bogotá – La Vega – Villeta (BVLPV),4.986548,-74.326199,93,LA VEGA,CUNDINAMARCA,25402
1G002,ANI,2.967562,10,0.003002,Bogotá - Villeta,Bogotá – La Vega – Villeta (BVLPV),4.995154,-74.338199,91,LA VEGA,CUNDINAMARCA,25402
1G002,ANI,4.676561,10,0.000003,Bogotá - Villeta,Bogotá – La Vega – Villeta (BVLPV),5.024027,-74.470159,67,VILLETA,CUNDINAMARCA,25875
<Null>,DEPTO,3.399433,12,0.000675,,,5.012001,-74.480712,64,VILLETA,CUNDINAMARCA,25875
<Null>,INVIAS-OTROS,3.818008,14,0.000135,Villeta-Honda,,5.024411,-74.491387,62,VILLETA,CUNDINAMARCA,25875
<Null>,INVIAS-OTROS,1.93442,7,0.053062,Villeta-Honda,,5.060263,-74.575627,36,GUADUAS,CUNDINAMARCA,25320
<Null>,INVIAS-OTROS,2.454862,8,0.014094,Villeta-Honda,,5.06123,-74.584733,34,GUADUAS,CUNDINAMARCA,25320
<Null>,INVIAS-OTROS,2.143707,8,0.032056,Villeta-Honda,,5.064345,-74.593076,34,GUADUAS,CUNDINAMARCA,25320
1G007,ANI,2.995412,13,0.002741,Bogotá - Mosquera,Bogotá (Fontibón) – Faca – Los Alpes,4.696039,-74.173057,72,MOSQUERA,CUNDINAMARCA,25473
1G007,ANI,6.546778,25,0,Bogotá - Mosquera,Bogotá (Fontibón) – Faca – Los Alpes,4.697829,-74.198878,69,FUNZA,CUNDINAMARCA,25286
