Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
17/05/2020,Cali/Valle,MIO,40878,"-0,726042637",436000,308387,149213,7
25/03/2020,Cali/Valle,MIO,65411,"-0,849974771",436000,308387,149213,3
24/07/2020,Cali/Valle,MIO,162505,"-0,62728211",436000,308387,149213,5
23/05/2020,Cali/Valle,MIO,97821,"-0,682797913",436000,308387,149213,6
15/07/2020,Cali/Valle,MIO,165579,"-0,620231651",436000,308387,149213,3
22/06/2020,Cali/Valle,MIO,53493,"-0,641499065",436000,308387,149213,1
25/07/2020,Cali/Valle,MIO,123143,"-0,600686799",436000,308387,149213,6
29/08/2020,Cali/Valle,MIO,118818,"-0,614711385",436000,308387,149213,6
09/06/2020,Cali/Valle,MIO,152238,"-0,650830275",436000,308387,149213,2
24/04/2020,Cali/Valle,MIO,90483,"-0,792470183",436000,308387,149213,5
28/03/2020,Cali/Valle,MIO,48074,"-0,844111457",436000,308387,149213,6
18/05/2020,Cali/Valle,MIO,118348,"-0,728559633",436000,308387,149213,1
31/05/2020,Cali/Valle,MIO,46707,"-0,686977676",436000,308387,149213,7
16/03/2020,Cali/Valle,MIO,322658,"-0,259958716",436000,308387,149213,1
15/06/2020,Cali/Valle,MIO,53896,"-0,638798228",436000,308387,149213,1
22/08/2020,Cali/Valle,MIO,118685,"-0,615142662",436000,308387,149213,6
12/06/2020,Cali/Valle,MIO,153024,"-0,649027523",436000,308387,149213,5
12/04/2020,Cali/Valle,MIO,26969,"-0,819258376",436000,308387,149213,7
06/07/2020,Cali/Valle,MIO,171417,"-0,606841743",436000,308387,149213,1
13/06/2020,Cali/Valle,MIO,117110,"-0,620249881",436000,308387,149213,6
29/07/2020,Cali/Valle,MIO,156256,"-0,641614679",436000,308387,149213,3
16/05/2020,Cali/Valle,MIO,,,436000,308387,149213,6
30/07/2020,Cali/Valle,MIO,161415,"-0,62978211",436000,308387,149213,4
03/07/2020,Cali/Valle,MIO,172859,"-0,603534404",436000,308387,149213,5
12/07/2020,Cali/Valle,MIO,55573,"-0,627559261",436000,308387,149213,7
04/05/2020,Cali/Valle,MIO,108585,"-0,750951835",436000,308387,149213,1
11/04/2020,Cali/Valle,MIO,43649,"-0,858460311",436000,308387,149213,6
07/04/2020,Cali/Valle,MIO,74987,"-0,828011468",436000,308387,149213,2
10/08/2020,Cali/Valle,MIO,168948,"-0,612504587",436000,308387,149213,1
14/07/2020,Cali/Valle,MIO,166788,"-0,617458716",436000,308387,149213,2
18/06/2020,Cali/Valle,MIO,157532,"-0,638688073",436000,308387,149213,4
20/06/2020,Cali/Valle,MIO,121363,"-0,606458768",436000,308387,149213,6
31/07/2020,Cali/Valle,MIO,165878,"-0,619545872",436000,308387,149213,5
30/04/2020,Cali/Valle,MIO,104624,"-0,760036697",436000,308387,149213,4
05/06/2020,Cali/Valle,MIO,149618,"-0,65683945",436000,308387,149213,5
20/04/2020,Cali/Valle,MIO,88300,"-0,797477064",436000,308387,149213,1
07/07/2020,Cali/Valle,MIO,169827,"-0,610488532",436000,308387,149213,2
20/08/2020,Cali/Valle,MIO,160324,"-0,632284404",436000,308387,149213,4
02/04/2020,Cali/Valle,MIO,76561,"-0,824401376",436000,308387,149213,4
05/05/2020,Cali/Valle,MIO,106062,"-0,756738532",436000,308387,149213,2
17/04/2020,Cali/Valle,MIO,83833,"-0,807722477",436000,308387,149213,5
26/07/2020,Cali/Valle,MIO,52259,"-0,649769122",436000,308387,149213,7
18/07/2020,Cali/Valle,MIO,116341,"-0,622743501",436000,308387,149213,6
26/08/2020,Cali/Valle,MIO,160387,"-0,632139908",436000,308387,149213,3
13/08/2020,Cali/Valle,MIO,161883,"-0,628708716",436000,308387,149213,4
22/05/2020,Cali/Valle,MIO,123401,"-0,716970183",436000,308387,149213,5
20/05/2020,Cali/Valle,MIO,119364,"-0,726229358",436000,308387,149213,3
12/08/2020,Cali/Valle,MIO,165332,"-0,620798165",436000,308387,149213,3
30/05/2020,Cali/Valle,MIO,99597,"-0,677038915",436000,308387,149213,6
10/07/2020,Cali/Valle,MIO,163489,"-0,625025229",436000,308387,149213,5
27/06/2020,Cali/Valle,MIO,128660,"-0,58279694",436000,308387,149213,6
16/07/2020,Cali/Valle,MIO,163337,"-0,625373853",436000,308387,149213,4
22/04/2020,Cali/Valle,MIO,89130,"-0,795573394",436000,308387,149213,3
20/03/2020,Cali/Valle,MIO,190036,"-0,564137615",436000,308387,149213,5
31/08/2020,Cali/Valle,MIO,160497,"-0,631887615",436000,308387,149213,1
05/09/2020,Cali/Valle,MIO,135014,"-0,562192959",436000,308387,149213,6
23/08/2020,Cali/Valle,MIO,50061,"-0,664499742",436000,308387,149213,7
19/03/2020,Cali/Valle,MIO,215774,"-0,505105505",436000,308387,149213,4
